"The vague man who is standing on the side, did he pay the least? No, the pale tone of the man standing on the left is due to a combination of thin paint layers and increased transparency of the flesh paint.",People
"How long has the person been dead? The man on the table, known as Aris Kindt, was hanged on 31 January 1632 after committing multiple crimes. Directly after his execution his body was made available for the public dissection in De Waag, which usually lasted several days.",People
"Why did these people want to study the human body? All men that are depicted were surgeons, who wanted to gain more knowledge on the anatomy of the human body. At the time, the human body was considered God's most important creation and by studying it, the surgeons attempted to get closer to God.",People
"Are these all doctors? No, they are not. Dr. Tulp is the only one who was a doctor, or physician. Having received a university degree, he practiced an intellectual craft. The men surrounding him are barber surgeons: medical practitioners who were commonly trained through apprenticeships. They performed manual crafts such as bloodletting, cupping, extracting teeth, performing surgery and cutting hair.",People
"Also, one of the guys on the right. He is looking over his shoulder? It also looks like he has something around his head. I am afraid I do not understand the question. Could you be a little more specific, please?",People
Was doctor Tulp the client? Both Dr Tulp as well as the other men depicted paid Rembrandt to be portrayed in this painting.,People
Is it true that the people surrounding him without a hat were not his students? The men observing the anatomy lesson are members of the Surgeon's Guild. They are barber surgeons who attended the lesson to be educated on the anatomy of the human body.,People
"The people surrounding him were barber surgeons? Yes, the men surrounding Dr Tulp were barber surgeons.",People
"Was being a surgeon seen as craft or a profession? In the 17th century, it was already seen as a profession.",People
"Is it true that his real name was not doctor Tulp? Yes, that is correct. Dr Tulp was born as Claes Pieterszoon, but later in life changed his name into Nicolaes and adopted the surname Tulp, which translates as tulip in Dutch.",People
"Are these real barber surgeons? Yes, these men were so called barber surgeons, or 'chirurgijn' in Dutch. Except for Dr Tulp: he was a doctor in medicine who had studied at university. A barber surgeon could perform procedures such as bloodletting, cupping, pulling teeth or amputating an arm or a leg.",People
"What did the criminal do before being sentenced to death? Before being sentenced to death, the criminal, known as Aris Kindt, had already been condemned for multiple thefts. Eventually, he was hanged for stealing a coat.",People
"Those are real human faces. Do we know if these portraits are really naturally painted? Yes, Rembrandt painted all men from life. Each of them must have sat for Rembrandt for several hours.",People
"Did doctor Tulp pay the most, because he was the most important? Yes, Dr. Tulp probably paid the most. The most important sitters, who got the best places in group portraits, usually paid more than others.",People
"Do you also know the names of all men in the painting? Yes, the names of all men in the painting are known. In the 18th century, someone wrote down their names on the piece of paper held by the man at Dr Tulp's left and put a corresponding number next to the head of every man. During the conservation of the painting in 1997-1998, these names were removed in order to reveal the original anatomical illustration underneath, which is still visible today.",People
How did this man die? The man was hanged as a convicted criminal. Only corpses of convicted criminals could be used in anatomy lessons.,People
What is the man in purple looking at? The man in purple is looking attentively at the action Dr. Tulp performs with the pliers in his left hand.,People
"Do you know whether these are all portraits of real people? Yes, these are all portraits of real people. The men commissioned Rembrandt to be depicted in this painting.",People
"Do we also know the names of the people? Yes, we do know the names of the people. In the 18th century, someone wrote down their names on the piece of paper which is being held by the man at Dr Tulp's left. During the conservation of the painting in 1997-1998, these names were removed in order to reveal the original anatomical illustration underneath, which is still visible today.",People
"Is it right that the corpse came from a prisoner? Yes, that's right. This was the corpse of Aris Kindt, a thief who had received the death sentence because he was an habitual offender. He was hanged on 31 January 1632.",People
"Who are these people in the painting? The men depicted in this painting are surgeons, attending an anatomy lesson by Dr Tulp. Their names are known because in the 18th century they were written down on the piece of paper held by the man at Dr Tulp's right. During the conservation of the painting in 1997-1998, these names were removed in order to reveal the original anatomical illustration underneath, which is still visible today. The identity of the corpse is known too. His name was Adriaan Adriaanszoon, a.k.a. Aris Kindt, a criminal from Leiden. He got the death penalty on January 31st 1632.",People
Are these really students? They all look pretty old? The men observing the anatomy lesson are members of the Surgeon's Guild. They are barber surgeons who attended the lesson to be educated on the anatomy of the human body.,People
Are those doctors in training? The men observing the anatomy lesson are members of the Surgeon's Guild. They are barber surgeons who attended the lesson to be educated on the anatomy of the human body.,People
"It was a corpse right? Yes, that's right, it is a corpse on the table.",People
Who is the man with hat? The man with the hat is doctor Nicolaes Tulp.,People
How long has that man been dead? The man must have been dead for only a few hours. He was hanged on 31 January 1632 and immediately afterwards his body was brought to De Waag to be dissected during the public anatomy lesson.,People
"Who are the people in the picture? Are these students at the University? No, the men weren't academic students but professional surgeons attending the anatomy lesson. Dr. Tulp is the only one who holds a university degree.",People
"So it was commissioned then? They were not all there at the same time in real life? Although the men probably were present at the actual anatomy lesson, the painting was made afterwards.",People
"Who was it? Who was the corpse? The deceased man was Adriaan Adriaanszoon from Leiden, known as Aris Kindt. He had been sentenced for theft multiple times. His latest crime was violently stealing a coat, for which he was hanged. His corpse was subsequently made available to science.",People
"Did he authorize to be dissected during an anatomy lesson? It was common practice to use the corpes of convicted criminals for anatomy lessons such as this one, and Aris Kindt  was probably not asked for authorisation.",People
Why did they choose him? There were probably more people who committed the same crimes. A dissection could only take place on a fresh corps. The body of Aris Kindt must therefore have been chosen as his body was still fresh from the execution.,People
"Was doctor Tulp the head of the guild? No, he was not. Dr Tulp was not a barber surgeon, but a physician. Holding a university degree, his theoretical extertion was deemed superior to the manual activity the barber surgeon's practiced at the time. Dr Tulp was appointed by the Amsterdam city council in order to be employed by the Amsterdam surgeon's guild as a 'praelector anatomiae' or 'reader of anatomy'. This meant that he was the only one in the city who was authorized to teach anatomy while dissecting the human body.",People
"Why are the people not looking at the hand? What are they all looking at? Rembrandt depicted the men looking in different directions in order to create a dynamic and exciting composition. The man in front is looking at the book, while the man in purple pays attention to the dissected hand. Others look at the book or at Dr. Tulp. Rembrandt depicted two men looking at the viewer, in order to engage us with the painting.",People
"The man in the back with the tray, is he making notes? The man in the back is holding his notebook, on which two studies of a dissected arm are depicted. In the 18th century all names of the men in the painting were written on it.",People
"Who are being portrayed? 1. Nicolaes Tulp  2. Jacob Block  3. Hartman Hartmansz  4. Adriaen Slabbraen  5. Jacob de Wit  6. Matthijs Calkoen  7. Jacob Colevelt  8. Frans van Loenen  and Adriaen Adriaensz, or Aris Kindt",People
"Is the corpse a famous person? Rembrandt depicted the corpse of notorious criminal, who went by the name of Aris Kindt. On 31 January 1632 he was hanged for stealing a coat, after which his corpse was dissected during the anatomical lesson of Dr. Nicolaes Tulp.",People
"The man in the painting, did he give authorization to be dissected? No, the man in the painting did not authorize anyone to be dissected. He was a criminal who had been sentenced to death on the day the lesson took place. Only corpses of criminals were used during anatomy lessons.",People
At what time was the person hanged? It is not known at what exact time the person was hanged.,People
"For what crimes has the person who is dead been convicted? The dead man was indeed a criminal, who had been convicted and hanged for stealing a coat. Previous to that incident, he had already committed several thefts.",People
"Was it easy to figure out? In order to figure out what the dead criminal had been convicted for, several (art) historians put in a lot of archival research.",People
"What kind of crime did this criminal commit? The man on the table was a multiple offender. A violent attempt to steal a coat was the last straw that broke the camels back, and he was hanged.",People
Has this man been hanged before his hand was cutoff? His hand had already been cut off when the man was hanged.,People
"Has his hand been cut off before he was hanged? Yes, his hand had been cut of before he was hanged.",People
"What is the name of the man who is lying there? The man on the table was called Adriaan Adriaanszoon, also known as Aris Kindt.",People
"Who is that person? The person on the table was known as Aris Kindt, a man who had committed multiple crimes and burglaries. He was hanged for violently attempting to steal a coat, after which his body was made available for dissection on that same day.",People
"Was doctor Tulp very famous? Yes, Dr Tulp was a renowned doctor at the time.The famous Dutch poet Joost van den Vondel even wrote several verses about him.",People
"Was doctor Tulp chairman of the surgeons guild? No, Dr. Tulp was not the chairman of the surgeons guild. He was not a barber surgeon, but a 'medicinae doctores' or physician. Holding a university degree, his theoretical extertion was deemed superior to the manual activity the barber surgeon's practiced. Dr Tulp was employed by the Amsterdam surgeon's guild as a 'praelector anatomiae' or 'reader of anatomy'. This meant that he was the only one who was authorized to teach anatomy and dissect the human body.",People
"Who paid the most? Dr. Tulp must have paid the most money to be depicted in this painting, since he was given de most prominent position.",People
"Are these students who are being trained? The men attending Dr Tulp's lesson were all practicing barber surgeons who performed a wide-range of procedures. Among them were bloodletting, cupping, extracting teeth, performing surgery and cutting hair. The barber surgeons of Amsterdam received theory lessons twice a week, led by a prominent doctor with a university degree. As part of these lessons, they attended the annual anatomy lesson.",People
Who is standing there? This question is not clear. Could you be more specific?,People
Which doctor is that? This question is not clear. Could you be more specific?,People
"Are these all medics? Yes, they are. However, there is a difference in their practices. Dr Tulp had received a university degree and was, as a doctor, practicing an intellectual craft. The men surrounding him are barber surgeons: medical practitioners who were commonly trained through apprenticeships. They performed manual crafts such as bloodletting, cupping, extracting teeth, performing surgery and cutting hair.",People
"Who was doctor Tulp? Dr. Tulp was quite a famous doctor at the time. Born Claes Pieterszoon, he studied medicine in Leiden, after which he returned to Amsterdam where he became a respected doctor. He adopted the tulip as his heraldric emblem and changed his name to Nicolaes (a more proper version of the name Claes) Tulp. In 1628, Tulp was appointed Praelector Anatomiae of the surgeon's guild, which meant that he was the only person allowed to teach the anatomy of the human body. Besides being a doctor, he was also a politician and even became Mayor of Amsterdam.",People
"Wat is a barber surgeon? Did they start as normal barbers? Barber surgeons were medical practitioners who performed a wide-range of procedures. Among them were bloodletting, cupping, extracting teeth, performing surgery and cutting hair. They were commonly trained through apprenticeships. The difference between a barber surgeon and a doctor, such as Dr Tulp, was that the former was seen as performing a manual craft, while the latter an intellectual.",People
"What is he doing? I am afraid I do not understand the question. Could you be a little more specific, please?",People
Why does Nicolaes Tulp make a certain movement with his hand? Dr Tulp demonstrates the hand movement that would occur when pulling the muscles in the forearm.,People
"Do the guild members represent real medical students? Werent they too old? The men surrounding Dr Tulp were all members of the Amsterdam Surgeon's Guild. They were not, however, real medical students as we know them now. They were practicing barber surgeons who performed a wide-range of procedures, among them were bloodletting, cupping, extracting teeth, performing surgery and cutting hair. They were commonly trained through apprenticeships. The difference between the barber surgeons and Dr Tulp, who held a university degree, was that the former were seen as performing manual crafts, while the latter intellectual.",People
"Who were the people attending the anatomy lesson? The men depicted in Rembrandt's painting were all members of the barber surgeon's guild who had paid to be portrayed. However, they were not the only ones who must have attended the public anatomy lesson. Anyone could attend, as long as they paid the fee.",People
"Why are there only men attending? There are no women depicted in Rembrandt's painting, because in the seventeenth century, women were excluded from universities and guilds. However, they could  practice as bleeders, bonesetters, midwifes or 'surgeonesses'. Additionally, several hospitals are known that were run by nuns.",People
"Is the subject still alive? No, the man on the table is dead.",People
"Has the person died a natural death or did he receive the death penalty? The dead man on the table was a criminal who, after having been convicted for multiple crimes, had been hanged.",People
"Did he know that he was going to be used for science? No, he probably did not know that he was going to be used for science.",People
"Maybe he thought that he would get closer to god? I am afraid I do not understand the question. Could you be a little more specific, please?",People
"Arent these people too old to be studying or didnt that matter at that time? The men in the painting were very different from medical students as we know them today. They were barber surgeons, who were held in a different regard than physicians, like Dr Tulp. Tulp held a university degree and thus practiced an intellectual craft. Barber surgeons, however, practiced a manual craft. They were medical practitioners who performed a wide-range of procedures such as bloodletting, extracting teeth, performing surgery and cutting hair. They did not go to university but were commonly trained through apprenticeships that often took years. Attending anatomy lessons, which took place once a year, was an opportunity to gain some more knowledge.",People
"Did all people in this painting really exist? Yes, the men in the painting did all exist. Their names are still known today.",People
"Why does the man in the middle of the painting with a sheet in his hand looks so terrified? It seems as if he is caught or wants to flee. That is an interesting interpretation. It has also been interpreted as if this man is paying close attention. Rembrandt depicted him looking up to the viewer, in order to invite the viewer to participate in the lesson.",People
"Why do some people look away from the body? Rembrandt depicted the men looking in different directions in order to create a dynamic and interactive composition. By following the different lines of sight, the viewer gains a good understanding of what is going on. All men are paying close attention: one looks at the dissected arm, while others look at the book in the lower right corner. The man on the far left looks straight at Dr. Tulp and others make eye contact with the viewer, as if the viewer is sitting at the anatomy table and participates in the lesson.",People
